datetime,ema_5,ema_15,CE_delta,CE_delta,PE_delta,PE_delta,CE_gamma,CE_gamma,PE_gamma,PE_gamma,CE_theta,CE_theta,PE_theta,PE_theta,CE_vega,CE_vega,PE_vega,PE_vega,avg_iv,iv_spread,pcr_oi,pcr_volume,futures_basis,spot_returns,futures_returns,delta_neutral_ratio
2026-01-13,25732.3,25732.3,,0.6221550235331611,,-0.3778449764668389,,0.00024212767185074092,,0.00024212767185074092,,-5.680551845512514,,-1.1758742424797075,,51.19409547263413,,51.19409547263413,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,,,
2026-01-13,25732.3,25732.3,,0.576672363553188,,-0.4233276364468121,,0.0001109103671828246,,0.0001109103671828246,,-9.264826953216692,,-4.7601493501838865,,52.73769992587127,,52.73769992587127,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-13,25732.3,25732.3,,0.5763696054133037,,-0.42363039458669627,,0.00010937372566084616,,0.00010937372566084616,,-9.359139210600384,,-4.854461607567578,,52.745570166561336,,52.745570166561336,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-13,25732.3,25732.3,,0.5896544141376886,,-0.4103455858623114,,0.00015778182686417228,,0.00015778182686417228,,-7.277844961196275,,-2.7731673581634713,,52.3705021106042,,52.3705021106042,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-13,25732.3,25732.3,,0.5758429336572011,,-0.4241570663427989,,0.00010655146626073551,,0.00010655146626073551,,-9.539456582270695,,-5.034778979237891,,52.75918595397865,,52.75918595397865,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-13,25732.3,25732.3,,0.574409637347752,,-0.425590362652248,,9.722730562474918e-05,,9.722730562474918e-05,,-10.209534570078093,,-5.704856967045288,,52.795757362335145,,52.795757362335145,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-13,25732.3,25732.3,,0.5760581551576991,,-0.4239418448423009,,0.00010773026172402318,,0.00010773026172402318,,-9.462991624236746,,-4.958314021203942,,52.753633463339355,,52.753633463339355,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-13,25732.3,25732.3,,0.58150556910787,,-0.41849443089213,,0.00013107866141756313,,0.00013107866141756313,,-8.23310531738187,,-3.728427714349064,,52.60778738935557,,52.60778738935557,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-13,25732.3,25732.3,,0.581132557269999,,-0.4188674427300009,,0.00012970275596016205,,0.00012970275596016205,,-8.293194417808222,,-3.788516814775416,,52.61810023251632,,52.61810023251632,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-13,25732.3,25732.3,,0.5846073816070256,,-0.41539261839297437,,0.00014187328405187985,,0.00014187328405187985,,-7.802728885522866,,-3.2980512824900607,,52.520170769643016,,52.520170769643016,23.185805307360518,-0.41632542966358344,0.8682832152422281,1.1781720339695618,0.00013086784941456237,0.0,0.0,
2026-01-12,25751.61666666667,25739.54375,,0.5768777454171062,,-0.42312225458289376,,0.00010724345317614738,,0.00010724345317614738,,-9.497375267370325,,-4.983950717535514,,52.85109804550994,,52.85109804550994,22.767925371468056,-0.2832552681666556,2.2127241204330175,1.3363803854875282,0.0005238442690505151,0.002252033436575873,0.002645843315196794,
2026-01-12,25764.494444444448,25745.88203125,,0.5778931799316661,,-0.4221068200683339,,0.00011219785726397393,,0.00011219785726397393,,-9.190913541065628,,-4.677488991230816,,52.8243395473172,,52.8243395473172,22.767925371468056,-0.2832552681666556,2.2127241204330175,1.3363803854875282,0.0005238442690505151,0.0,0.0,
2026-01-12,25773.079629629636,25751.42802734375,,0.5905881970861346,,-0.4094118029138654,,0.00015636410390208532,,0.00015636410390208532,,-7.324042954367304,,-2.810618404532493,,52.459720039429925,,52.459720039429925,22.767925371468056,-0.2832552681666556,2.2127241204330175,1.3363803854875282,0.0005238442690505151,0.0,0.0,
2026-01-12,25778.80308641976,25756.28077392578,,0.6067480787804147,,-0.3932519212195853,,0.0001997896553848741,,0.0001997896553848741,,-6.309085393788857,,-1.7956608439540467,,51.914530748097924,,51.914530748097924,22.767925371468056,-0.2832552681666556,2.2127241204330175,1.3363803854875282,0.0005238442690505151,0.0,0.0,
2026-01-12,25782.618724279844,25760.52692718506,,0.5824873100556343,,-0.4175126899443658,,0.00013049039044028848,,0.00013049039044028848,,-8.262094453497728,,-3.748669903662918,,52.6988282200355,,52.6988282200355,22.767925371468056,-0.2832552681666556,2.2127241204330175,1.3363803854875282,0.0005238442690505151,0.0,0.0,
2026-01-12,25785.162482853233,25764.242311286926,,0.5761582286013919,,-0.4238417713986081,,0.00010331029342843275,,0.00010331029342843275,,-9.761622189185108,,-5.2481976393502965,,52.86984336752137,,52.86984336752137,22.767925371468056,-0.2832552681666556,2.2127241204330175,1.3363803854875282,0.0005238442690505151,0.0,0.0,
