datetime,open,high,low,close,volume,ema_5,ema_15,ema_gap,returns,volatility,candle_range,candle_body,hour,minute,day_of_week,returns_lag_1,returns_lag_3,ema_gap_lag_1,regime,signal,position,strategy_returns,equity_curve,trade_pnl,z_score
2015-01-14 12:30:00,8245.9,8248.45,8236.75,8244.45,0,8265.734101622756,8278.1007727972,-12.366671174442672,-0.0035774499791515,0.0009385201751664,11.700000000000728,1.4499999999989086,12,30,2,-0.0001872975977573,-0.0002295573168373,-6.531873619807811,-1,0,-1.0,0.0035774499791515,1.002109628989166,0.0035774499791515,3.2368691979831903
2015-01-15 09:20:00,8428.0,8428.15,8392.6,8425.8,0,8329.346106318968,8293.345228384907,36.000877934060554,0.0166571144158547,0.003813458108844,35.54999999999927,2.200000000000728,9,20,3,0.0003138144752961,0.0009005415337008,6.696041324272301,1,0,1.0,0.0166571144158547,1.0165584928493014,0.0166571144158547,15.087236835775313
2015-01-15 15:25:00,8463.8,8470.6,8459.35,8461.15,0,8490.789764608111,8497.271305686638,-6.481541078526789,-0.0043480307362823,0.0013300841612284,11.25,2.649999999999636,15,25,3,-0.0014863554915841,-0.0005583571369797,3.178154698867729,-1,-1,1.0,-0.0043480307362823,1.020823410450269,-0.0043480307362823,-3.9437324633691615
2015-01-19 09:30:00,8560.8,8561.15,8549.05,8557.65,0,8513.076509738741,8504.818642475808,8.25786726293336,0.0114050690508973,0.0028922776911968,12.100000000000364,3.149999999999636,9,30,0,-0.0043480307362823,0.0009879621516404,-6.481541078526789,1,1,-1.0,-0.0114050690508973,1.0091808489653111,-0.0114050690508973,-10.337512584172604
2015-01-20 09:20:00,8582.4,8587.25,8579.75,8583.8,0,8561.80992720287,8557.196244081542,4.613683121327995,0.0039179911815958,0.0010073020790099,7.5,1.3999999999996362,9,20,1,-8.186177055324872e-05,-0.0004385221219793,-2.5808167174564005,1,1,1.0,0.0039179911815958,1.015093480032275,0.0039179911815958,3.545404517395248
2015-01-23 09:20:00,8854.4,8860.75,8846.45,8848.0,0,8790.757169742956,8764.906950681268,25.850219061687312,0.0097920613544542,0.0022637981366676,14.299999999999272,6.399999999999636,9,20,4,-0.0008780031699333,0.0013298631325413,9.099239550125276,1,0,-1.0,-0.0097920613544542,1.009450765821258,-0.0097920613544542,-8.876103975569423
2015-01-28 12:40:00,8958.45,8958.8,8927.7,8944.1,0,8962.759046621788,8955.578212994857,7.180833626931417,-0.0044190654288829,0.0012705909695553,31.099999999998545,14.350000000000364,12,40,2,0.0007742136718336,0.001467961598571,14.870612224276556,1,0,1.0,-0.0044190654288829,1.0172490067099034,-0.0044190654288829,-4.008090935746519
2015-01-29 09:20:00,8870.55,8876.95,8862.15,8869.4,0,8896.062044341421,8901.050116857194,-4.988072515772728,-0.0041990389365428,0.0013708718798387,14.800000000001091,1.1499999999996362,9,20,3,-0.0004825442425739,-0.0007567222156826,3.821504389623442,-1,-1,1.0,-0.0041990389365428,1.0082890512107938,-0.0041990389365428,-3.8087437096076466
2015-01-29 15:05:00,8959.6,8960.2,8947.65,8957.0,0,8912.571754159993,8896.657220557592,15.914533602401209,0.0070607811832428,0.0017225491756196,12.550000000001091,2.600000000000364,15,5,3,0.0006075060750609,0.0004275547804561,2.3208077455983585,1,0,-1.0,-0.0070607811832428,0.9999699835076936,-0.0070607811832428,-6.401524118624323
2015-01-30 11:30:00,8854.6,8863.75,8843.7,8843.9,0,8869.852559053794,8894.39266610151,-24.540107047716447,-0.0041438174918645,0.001289690149284,20.049999999999272,10.700000000000728,11,30,4,0.0012514656805266,-0.0020649415683428,-18.777065535319707,-1,0,-1.0,0.0041438174918645,1.0103269221823308,0.0041438174918645,3.750006463562969
2015-02-03 11:50:00,8759.05,8759.05,8744.45,8745.85,0,8782.166345818901,8795.438462873148,-13.272117054246335,-0.0054922874865677,0.0015472605754128,14.599999999998545,13.199999999998909,11,50,1,-0.0004830423713402,-0.0010841369758823,-2.1980102695324604,-1,0,1.0,-0.0054922874865677,0.9912752468403528,-0.0054922874865677,-4.9804458460807695
2015-02-05 15:00:00,8755.95,8765.85,8743.3,8744.3,0,8780.292559062462,8796.403768902417,-16.111209839955336,-0.0048084856968889,0.0014192233902997,22.55000000000109,11.650000000001455,15,0,3,-0.0010516382819072,-0.0013571602982344,-5.558325866213636,-1,0,-1.0,0.0048084856968889,0.9939853533003168,0.0048084856968889,4.3522055967905695
2015-02-09 09:20:00,8591.45,8603.9,8589.7,8596.85,0,8642.50521052923,8660.402139807607,-17.896929278376774,-0.0079794599584582,0.0019593198899521,14.199999999998909,5.399999999999636,9,20,0,-0.0002134323967304,0.0013576438235871,-4.148201129133668,-1,0,-1.0,0.0079794599584582,1.009668309605609,0.0079794599584582,7.22515474249848
