datetime,open,high,low,close,trend_signal,volatility_10,ema_5,ema_15,ema_gap,log_return,regime,regime_label,position,position_shifted,strategy_return,cumulative_market,cumulative_strategy
2025-01-29 09:20:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,,,0.0,
2025-01-29 09:25:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 09:30:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 09:35:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 09:40:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 09:45:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 09:50:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 09:55:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:00:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:05:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:10:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:15:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:20:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:25:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:30:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:35:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:40:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:45:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:50:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 10:55:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:00:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:05:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:10:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:15:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:20:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:25:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:30:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:35:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:40:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:45:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:50:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 11:55:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:00:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:05:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:10:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:15:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:20:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:25:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:30:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:35:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:40:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:45:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:50:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 12:55:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:00:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:05:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:10:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:15:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:20:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:25:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:30:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:35:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:40:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:45:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:50:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 13:55:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 14:00:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
2025-01-29 14:05:00,23026.75,23183.35,22976.5,23163.1,-1.0,0.0079367862222263,23163.1,23163.1,-0.0,0.0,0,-1,-1,-1.0,-0.0,0.0,0.0
